,Descrição,Resultado esperado,Status,Link para o relatório de bug
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 5,
    ""clientDeliveryCost"": 0",,
,,,,
,"Enviar requisao POST com o parametro  ""deliveryTime"": letras
{
    ""deliveryTime"": ""letras"",
    ""productsCount"": 1,
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-28
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro  ""deliveryTime"": simbolos
{
    ""deliveryTime"": ""!@#"",
    ""productsCount"": 1,
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-29
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro  ""deliveryTime"": sem numeros
{
    ""deliveryTime"": 
    ""productsCount"": 1,
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,"https://lnzzepphyr-1709991917578.atlassian.net/jira/software/c/projects/S4/issues/S4-30?filter=allissues&jql=project%20%3D%20""S4""%20ORDER%20BY%20created%20DESC"
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro  ""deliveryTime"": apagado
{
   
    ""productsCount"": 1,
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-31
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro  ""productsCount"": ""letras,
{
    ""deliveryTime"": 1,
    ""productsCount"": ""letras,
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-32
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro  ""productsCount"": ""simbolos,
{
    ""deliveryTime"": 1,
    ""productsCount"": ""!@#,
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-33
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro  ""productsCount"": ""sem numero,
{
    ""deliveryTime"": 1,
    ""productsCount"": "",
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-34
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro  ""productsCount"": ""apagado
{
    ""deliveryTime"": 1,
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-35
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro    ""productsWeight"": letras
{
    ""deliveryTime"": 1,
    ""productsCount"": letras"",
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-36
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro    ""productsWeight"": simbolos
{
    ""deliveryTime"": 1,
    ""productsCount"": !@#!"",
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-37
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro    ""productsWeight"": sem numeros
{
    ""deliveryTime"": 1,
    ""productsCount"": "",
    ""productsWeight"": 1
}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-38
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o parametro    ""productsWeight"": apagado
{
    ""deliveryTime"": 1,

    ""productsWeight"": 1
}",Código de resposta e status 200 OK,APROVADO,
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
,"Enviar requisao POST com o todos os  parametros  apagados
{

}",Código de resposta e status 200 OK,REPROVADO,https://lnzzepphyr-1709991917578.atlassian.net/browse/S4-39
,,Não há erros na estrutura da resposta,,
,,"    ""isItPossibleToDeliver"": true,
    ""hostDeliveryCost"": 3,
    ""clientDeliveryCost"": 0",,
